Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20073137,1285734.2737358666,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-12 3:43:11,OUT
20073035,1597.7783197736992,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF0d4c12A...d26C58b8D,2024-06-12 3:22:35,OUT
20072793,285159.7749096333,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28104d4F...d56F33f95,2024-06-12 2:34:11,OUT
20072287,509.76954784245095,Dai Stableco...,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,"Dai Stableco...(DAI)",2024-06-12 0:52:11,OUT
20071780,463821.037103059,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,OUT
20071780,463624.6671731543,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,IN
20071251,119844.1011090797,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x8c5EC152...203920c66,2024-06-11 21:24:23,OUT
20071200,2557.000963976265,USDe,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x7F8d39F5...A184A0bF5,2024-06-11 21:13:59,OUT
20071035,118283.25204326863,Dai Stableco...,0x9b0af998,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Curve.fi: Swap Router,2024-06-11 20:40:59,OUT
20071035,118225.62372393324,USDe,0x9b0af998,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Curve.fi: Swap Router,2024-06-11 20:40:59,IN
20069851,102254.16106288164,Dai Stableco...,Unoswap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x5dEB8b6f...b506FF58b,2024-06-11 16:42:47,OUT
20069851,102200,USDe,Unoswap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,1inch Network : Aggregation Router V6,2024-06-11 16:42:47,IN
20069396,499807.0400939008,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-11 15:11:11,OUT
20069390,199694.63532713943,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 15:09:59,OUT
20069344,299573.1314888546,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 15:00:47,OUT
20069336,499804.9577598977,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-11 14:59:11,OUT
20069331,399405.97821643116,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:58:11,OUT
20069320,399470.909963977,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:55:47,OUT
20069306,499424.820649758,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:52:59,OUT
20069300,528022.5128521066,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:51:47,OUT
20069265,513962.2683932987,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-11 14:44:47,OUT
20069203,40004.76545140702,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,CoW Protocol: GPv2Settlement,2024-06-11 14:32:23,OUT
20069203,40032.34475752457,Dai Stableco...,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Uniswap V3: WBTC-DAI,2024-06-11 14:32:23,IN
20069123,33440.70347418674,USDe,Multi Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 14:16:23,OUT
20069123,33463.34566965352,Dai Stableco...,Multi Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 14:16:23,IN
20068798,118491.89285556856,Dai Stableco...,Rebalance Up,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x5bf10305...cFBb40234,2024-06-11 13:11:23,OUT
20068798,118504.97399681434,USDe,Rebalance Up,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,1inch Network : Aggregation Router V6,2024-06-11 13:11:23,IN
20068767,501431.19855181413,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-11 13:05:11,OUT
20068108,6835.238407176667,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xB0a80C11...9ABBc65e6,2024-06-11 10:52:35,OUT
20067459,2133.4553194928303,USDe,0x83227120,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Uniswap V3: USDe-wstETH,2024-06-11 8:41:23,OUT
20067459,2134.6109484920453,Dai Stableco...,0x83227120,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x000...e49,2024-06-11 8:41:23,IN
20067128,3998.965530798174,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x88712e9F...5025913Fd,2024-06-11 7:34:59,OUT
20067034,235730.85885346262,USDe,Fill Order Args,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-11 7:16:11,OUT
20066882,158154.54557600323,USDe,Swap Exact Token For Pt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-11 6:45:47,OUT
20066850,19943.651417790094,USDe,Swap Exact Token For Pt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-11 6:39:23,OUT
20066306,199910.08679421133,USDe,Exec Transaction,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-11 4:49:47,OUT
20065661,261557.05540619456,USDe,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Odos: Router V2,2024-06-11 2:39:59,OUT
20065661,261635.103292,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Null: 0x000...000,2024-06-11 2:39:59,IN
20065567,687601.0356056215,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-11 2:21:11,OUT
20065548,674859.2061562787,Dai Stableco...,Sell To Liquidity Provider,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x561B9445...4aCf7cc75,2024-06-11 2:17:23,OUT
20065441,14234.082908872695,USDe,Swap Exact Token For Yt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-11 1:55:47,OUT
20065389,140557.59346811593,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xB4E39d78...EF69f8352,2024-06-11 1:45:23,OUT
20065291,141543.81937518777,USDe,Open Credit Account,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb8261245...bC5224C6a,2024-06-11 1:25:35,OUT
20065003,3163.6799614354936,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-11 0:27:35,OUT
20063706,754831.774835356,USDe,Exec,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x3fa...fb6,2024-06-10 20:05:59,OUT
20063706,755265.083753,Dai Stableco...,Exec,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x3fa...fb6,2024-06-10 20:05:59,IN
20063377,11599.132654584393,Dai Stableco...,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x5fEf57EC...1B0EE44FF,2024-06-10 19:00:11,OUT
20063298,1081810.8535781656,USDe,Mint Py From Token,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-10 18:44:11,OUT
20063178,113609.3956645552,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-10 18:19:59,OUT
20063088,1209343.0841725226,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 18:01:47,OUT
20063088,1210000,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 18:01:47,IN
20062935,610587.6947193056,USDe,Exec Transaction,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-10 17:31:11,OUT
20062497,159966.64139094474,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 16:02:59,OUT
20062497,160003.39027141233,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 16:02:59,IN
20062376,467756.59724984434,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 15:38:23,OUT
20062376,468000,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 15:38:23,IN
20062212,829131.4330384453,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 15:05:23,OUT
20062212,829386.4647624693,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-10 15:05:23,IN
20062194,1000084.4984113749,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Odos: Router V2,2024-06-10 15:01:47,OUT
20061352,11080871.95818915,Dai Stableco...,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061352,25396274.554259196,USDe,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061352,14347735.487019017,Dai Stableco...,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:12:35,OUT
20061322,11041909.945239598,Dai Stableco...,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061322,25378337.892860357,USDe,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061322,14368650.737254323,Dai Stableco...,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:06:35,OUT
20061319,11003068.254961975,Dai Stableco...,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20061319,25360415.84805379,USDe,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20061319,14389460.594348233,Dai Stableco...,0x60806040,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF19D66E8...a201517ad,2024-06-10 12:05:59,OUT
20061005,957298.1778994324,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28104d4F...d56F33f95,2024-06-10 11:01:59,OUT
20060973,276311.10469188256,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28104d4F...d56F33f95,2024-06-10 10:55:35,OUT
20060752,5007.521047623466,USDe,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x6024178c...8571e1fdd,2024-06-10 10:11:11,OUT
20060578,6020.266482759239,USDe,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xA20F2166...27361c33C,2024-06-10 9:36:23,OUT
20059729,49546.45782976132,Dai Stableco...,0x00000000,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x4eE9775D...9b2Ad4811,2024-06-10 6:45:59,OUT
20059551,184860.4212645491,USDe,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Odos: Router V2,2024-06-10 6:10:23,OUT
20059551,185130.38812,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Null: 0x000...000,2024-06-10 6:10:23,IN
20059489,191734.79545150953,USDe,Swap Exact Amount In,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb0DE0000...00017055f,2024-06-10 5:57:47,OUT
20059469,359541.9405637239,USDe,Swap Exact Amount In,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb0DE0000...00017055f,2024-06-10 5:53:47,OUT
20059428,651963.9424487364,USDe,Swap Exact Amount In,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb0DE0000...00017055f,2024-06-10 5:45:35,OUT
20059410,399805.93960015476,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28e4EB48...63B7c4aD5,2024-06-10 5:41:59,OUT
20059211,986386.0689441278,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-10 5:01:59,OUT
20059201,235867.1223131055,USDe,Smart Swap By Order Id,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x9bC7cBBB...03Ed61B87,2024-06-10 4:59:59,OUT
20059075,294.00589370062687,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,CoW Protocol: GPv2Settlement,2024-06-10 4:34:47,OUT
20059075,294.20633028297453,Dai Stableco...,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,CoW Protocol: GPv2Settlement,2024-06-10 4:34:47,IN
20058943,299713.93455140264,USDe,Open Credit Account,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28e4EB48...63B7c4aD5,2024-06-10 4:08:23,OUT
20058468,772039.4924684814,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Odos: Router V2,2024-06-10 2:32:35,OUT
20058447,237403.01662936524,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28104d4F...d56F33f95,2024-06-10 2:28:23,OUT
20058410,63949.31415888517,USDe,Swap Exact Token For Pt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-10 2:20:59,OUT
20058358,667.0394454906143,USDe,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-10 2:10:35,OUT
20057475,751795.0988854757,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-09 23:13:23,OUT
20057452,1064203.2184247521,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Odos: Router V2,2024-06-09 23:08:47,OUT
20057428,636248.2062307782,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28104d4F...d56F33f95,2024-06-09 23:03:59,OUT
20057309,51691.5260621718,Dai Stableco...,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-09 22:40:11,OUT
20057036,200026.56480624783,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x3058EF90...cA6835D73,2024-06-09 21:45:11,OUT
20056825,29939.515329250084,USDe,Swap Exact Token For Pt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-09 21:02:47,OUT
20056825,29939.97605015765,USDe,Swap Exact Token For Pt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-09 21:02:47,OUT
20056780,503715.2706289668,USDe,0xc71a6528,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb4B50Bfa...D24Ac6474,2024-06-09 20:53:47,OUT
20056779,247226.29797214433,USDe,I Bribe2Much Z7650399733,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x645...bfa,2024-06-09 20:53:35,OUT
20056779,247645.37175357243,Dai Stableco...,I Bribe2Much Z7650399733,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x645...bfa,2024-06-09 20:53:35,IN
20056779,1254575.4156500157,USDe,I Bribe2Much Z7650399733,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x645...bfa,2024-06-09 20:53:35,OUT
20056779,1256303.889165271,Dai Stableco...,I Bribe2Much Z7650399733,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x645...bfa,2024-06-09 20:53:35,IN
20056656,743868.1054923026,USDe,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Odos: Router V2,2024-06-09 20:28:59,OUT
20056656,744609.313365,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Null: 0x000...000,2024-06-09 20:28:59,IN
20056546,205155.08459425508,USDe,0xe2216a2f,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Uniswap V3: USDe-USDT 2,2024-06-09 20:06:23,OUT
20056546,205325.20038211675,Dai Stableco...,0xe2216a2f,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x000...e49,2024-06-09 20:06:23,IN
20056546,793830.0289915814,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xD5B0e371...B5Dc628CB,2024-06-09 20:06:23,OUT
20056543,793927.6200584316,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x645596F6...0ba3D15e7,2024-06-09 20:05:47,OUT
20055864,200.50754894684044,Dai Stableco...,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xA12BEa00...acF0d00C0,2024-06-09 17:49:35,OUT
20054890,10072.688891914098,Dai Stableco...,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,"Dai Stableco...(DAI)",2024-06-09 14:33:35,OUT
20053833,0.00998621928529199,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,"USDe(USDe)",2024-06-09 11:00:59,OUT
20053816,1500.0000055522585,Dai Stableco...,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdb66DB13...7A127a63d,2024-06-09 10:57:23,OUT
20052642,299915.53165293945,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x4d596aAb...e616325b7,2024-06-09 7:00:47,OUT
20050832,493709.9305089837,USDe,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-09 0:56:35,OUT
20050761,1021519604.0578543,Tesla,Execute,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Uniswap V2: TSLA 41,2024-06-09 0:42:23,IN
20050255,154603.16971777866,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-08 23:00:23,OUT
20050255,154800,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-08 23:00:23,IN
20049910,33435.80145460611,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x66c8251d...67745E864,2024-06-08 21:51:11,OUT
20049746,66.0987138755978,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x35CeFdbd...9239A6052,2024-06-08 21:18:11,OUT
20049535,1025.928151159584,USDe,Swap Exact Token For Yt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-08 20:35:59,OUT
20049215,19975.50948989786,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x9889332B...06288F87a,2024-06-08 19:31:59,OUT
20049192,145.76825840622172,Dai Stableco...,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,CoW Protocol: GPv2Settlement,2024-06-08 19:27:23,OUT
20049192,145.7082902685164,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,CoW Protocol: GPv2Settlement,2024-06-08 19:27:23,IN
20049129,2749.2717111837846,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x08e20112...b95A81145,2024-06-08 19:14:47,OUT
20047908,129793.3148928751,USDe,Swap Exact Token For Pt,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xf081470f...409DcdD67,2024-06-08 15:08:47,OUT
